"Instituto Nacional de Estadística y Geografía",
"",
"Principales índices (mensual)",
"Fecha de consulta: 24/06/2026 08:16:12",

"Título","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Principales índices, INPP mercancías excluyendo petróleo","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)"
"Cifra","","",""
"Fecha","865541","1380001","865546"
"Mar 2021","111.824000000000","109.493146117479","111.824000000000"
"Abr 2021","112.190000000000","109.678353052584","112.190000000000"
"May 2021","112.419000000000","110.350567260300","112.419000000000"
"Jun 2021","113.018000000000","111.222191216286","113.018000000000"
"Jul 2021","113.682000000000","111.739151060565","113.682000000000"
"Ago 2021","113.899000000000","112.403342404850","113.899000000000"
"Sep 2021","114.601000000000","112.916646751608","114.601000000000"
"Oct 2021","115.561000000000","114.032185881112","115.561000000000"
"Nov 2021","116.884000000000","115.266864407675","116.884000000000"
"Dic 2021","117.308000000000","116.336491993623","117.308000000000"
"Ene 2022","118.002000000000","117.046119569893","118.002000000000"
"Feb 2022","118.981000000000","118.088640592025","118.981000000000"
"Mar 2022","120.159000000000","119.564563045770","120.159000000000"
"Abr 2022","120.809000000000","120.286826566108","120.809000000000"
"May 2022","121.022000000000","121.135913811810","121.022000000000"
"Jun 2022","122.044000000000","121.842806440368","122.044000000000"
"Jul 2022","122.948000000000","122.904483692783","122.948000000000"
"Ago 2022","123.803000000000","123.070617888969","123.803000000000"
"Sep 2022","124.571000000000","122.879555796849","124.571000000000"
"Oct 2022","125.276000000000","123.049713990815","125.276000000000"
"Nov 2022","125.997000000000","122.581666699495","125.997000000000"
"Dic 2022","126.478000000000","122.937332963604","126.478000000000"
"Ene 2023","127.336000000000","123.850241306445","127.336000000000"
"Feb 2023","128.046000000000","123.744819425577","128.046000000000"
"Mar 2023","128.389000000000","124.128541842592","128.389000000000"
"Abr 2023","128.363000000000","124.017154918213","128.363000000000"
"May 2023","128.084000000000","123.497097049244","128.084000000000"
